,iata_code,name
14657,BXL,Blue Lagoon Seaplane Base
14658,BXZ,Bunsil Airport
14700,BYA,Boundary Airport
14701,BYL,Bella Yella Airport
14702,BYV,Beira Lake Seaplane Base
14716,BCV,Hector Silva Airstrip
14717,BGK,Big Creek Airport
14718,CUK,Caye Caulker Airport
14719,CYC,Caye Chapel Airport
14720,CZH,Corozal Municipal Airport
14721,DGA,Dangriga Airport
14722,INB,Independence Airport
14723,MDB,Melinda Airport
14724,ORZ,Orange Walk Airport
14725,PLJ,Placencia Airport
14726,PND,Punta Gorda Airport
14727,SJX,Sartaneja Airport
14728,SPR,John Greif II Airport
14729,SQS,Matthew Spain Airport
14730,STU,Santa Cruz Airport
14731,SVK,Silver Creek Airport
14732,TZA,Sir Barry Bowen Municipal Airport
14733,BZB,Bazaruto Island Airport
14734,BZM,Bemolanga Airport
14735,BZS,Buzzards Point Seaplane Base
14814,YYS,Blissville Airport
14856,YLM,Clinton Creek Airport
14873,YGY,Deception Airport
14962,YUJ,Lady Franklin Point Airport
14974,YWO,Lupin Airport
15002,YAD,Moose Lake Airport
15006,YMD,Mould Bay Airport
15035,YDE,Paradise River Airport
15074,YYI,Rivers Airport
15083,YSV,Saglek Airport
15139,YTJ,Terrace Bay Airport
15173,YWN,Winisk Airport
15207,YRR,Stuart Island Airstrip
15265,YMV,Mary River Aerodrome
15621,YBW,Bedwell Harbour Seaplane Base
15622,YTP,Tofino Harbour Seaplane Base
15623,YBM,Bronson Creek Airport
15625,ZAA,Alice Arm/Silver City Seaplane Base
15628,ZNA,Nanaimo Harbour Water Airport
15632,YZZ,Trail Airport
15633,YMB,Merritt Airport
15638,YHH,Campbell River Seaplane Base
15640,YWS,Whistler/Green Lake Water Aerodrome
15642,YBF,Bamfield Seaplane Base
15645,YIG,Big Bay Seaplane Base
15647,CJH,Chilko Lake (Tsylos Park Lodge) Airport
15649,YPT,Pender Harbour Seaplane Base
15651,ZOF,Ocean Falls Seaplane Base
15652,YCA,Courtenay Airpark
15659,CFQ,Creston Valley Regional Airport - Art Sutcliffe Field
15660,YAA,Anahim Lake Airport
15668,DGF,Douglas Lake Airport
15669,JHL,Fort MacKay/Albian Aerodrome
15673,ZTS,Tahsis Seaplane Base
15674,DUQ,Duncan Airport
15682,YPI,Port Simpson Seaplane Base
15684,YHS,Sechelt-Gibsons Airport
15687,YKK,Kitkatla Seaplane Base
15694,WPL,Powell Lake Seaplane Base
15707,XQU,Qualicum Beach Airport
15708,YMP,Port Mcneill Airport
15714,YRN,Rivers Inlet Seaplane Base
15719,YTG,Sullivan Bay Seaplane Base
15721,YMU,Mansons Landing Seaplane Base
15728,YAV,Mayne Island Seaplane Base
15729,YSX,Bella Bella/Shearwater Seaplane Base
15734,YGG,Ganges Seaplane Base
15738,YTB,Hartley Bay Seaplane Base
15744,YZA,Cache Creek-Ashcroft Regional Airport
15756,ZEL,Bella Bella (Campbell Island) Airport
15757,CBC,Cherrabun Airport
15808,YTX,Telegraph Creek Airport
15834,YPB,Alberni Valley Regional Airport
15849,YBO,Bob Quinn Lake Airport
15855,TNS,Tungsten (Cantung) Airport
15856,TUX,Tumbler Ridge Airport
15866,YWM,Williams Harbour Airport
15875,YSO,Postville Airport
15878,YBI,Black Tickle Airport
15897,YFX,St. Lewis (Fox Harbour) Airport
15908,YHA,Port Hope Simpson Airport
15940,YRG,Rigolet Airport
16079,DVK,Diavik Airport
16084,JOJ,Doris Lake
16111,ZFW,Fairview Airport
16116,YJP,Hinton/Jasper-Hinton Airport
16174,YLE,Whatì Airport
16194,YGC,Grande Cache Airport
16197,YDC,Drayton Valley Industrial Airport
16198,NML,Fort McMurray / Mildred Lake Airport
16210,CFM,Conklin (Leismer) Airport
16224,ZSP,St. Paul Airport
16253,GSL,Taltheilei Narrows Airport
16262,XMP,Macmillan Pass Airport
16275,DAS,Great Bear Lake Airport
16282,YFI,Fort Mackay / Firebag
16289,YFJ,Wekweètì Airport
16300,YOE,Donnelly Airport
16320,TIL,Cheadle Airport
16375,OKG,Okoyo Airport
16376,CGA,Craig Seaplane Base
16380,CGC,Cape Gloucester Airport
16387,CGG,Casiguran Airport
16389,GHK,Gahcho Kue
16405,CGT,Chinguetti Airport
16438,CHP,Circle Hot Springs Airport
16456,CIV,Chomley Seaplane Base
16477,LRQ,Laurie River Airport
16521,YDJ,Hatchet Lake Airport
16526,YDU,Kasba Lake Airport
16539,YFL,Fort Reliance Seaplane Base
16562,XCL,Cluff Lake Airport
16570,YKE,Knee Lake Airport
16585,SUR,Summer Beaver Airport
16594,CKD,Crooked Creek Airport
16601,YTT,Tisdale Airport
16622,YAX,Wapekeka Airport
16681,WNN,Wunnumin Lake Airport
16693,YBS,Opapimiskan Lake Airport
16708,YNO,North Spirit Lake Airport
16715,CKR,Crane Island Airstrip
16735,CKU,Cordova Municipal Airport
16744,YDW,North of Sixty Airport
16755,CKX,Chicken Airport
16885,CLC,Clear Lake Metroport
16893,CLG,Coalinga Airport (1936)
16960,CMT,New Cametá Airport
16964,CMZ,Caia Airport
16970,TVS,Tangshan Sannühe Airport
16977,YUA,Yuanmou Air Base
16989,ZQZ,Zhangjiakou Ningyuan Airport
16992,BSD,Baoshan Yunduan Airport
16999,DZU,Dazu Air Base
17005,LNJ,Lintsang Airfield
17011,RKZ,Shigatse Air Base
17015,PZI,Bao'anying Airport
17016,ZKL,Zigong Airport
17026,FUO,Foshan Shadi Airport
17027,BZX,Bazhong Enyang Airport
17032,XAI,Xinyang Minggang Airport
17033,HUZ,Huizhou Pingtan Airport
17044,HSC,Shaoguan Guitou Airport
17046,JGS,Jinggangshan Airport
17047,AEB,Baise Youjiang Airport
17056,DOY,Dongying Shengli Airport
17069,XEN,Xingcheng Air Base
17078,AAT,Altay Airport
